,data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_attualmente_positivi,nuovi_attualmente_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,FIELD17
228,2020-03-05 17:00:00,ITA,10,Umbria,43.10675841,12.38824698,1,1,2,7,9,0,0,0,9,88,9.0
229,2020-03-05 17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,2,2,0,0,0,2,21,0.0
230,2020-03-05 17:00:00,ITA,5,Veneto,45.43490485,12.33845213,92,24,116,264,380,0,17,10,407,11949,345.0
231,2020-03-06 17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,9,0,9,0,9,1,0,0,9,96,
232,2020-03-06 17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,1,0,1,2,3,2,0,0,3,63,
233,2020-03-06 17:00:00,ITA,4,Bolzano,46.49933453,11.35662422,4,0,4,0,4,3,0,0,4,36,
234,2020-03-06 17:00:00,ITA,18,Calabria,38.90597598,16.59440194,2,0,2,2,4,2,0,0,4,99,
235,2020-03-06 17:00:00,ITA,15,Campania,40.83956555,14.25084984,12,0,12,45,57,12,0,0,57,471,
236,2020-03-06 17:00:00,ITA,8,Emilia Romagna,44.49436681,11.3417208,397,53,450,366,816,158,17,37,870,3136,
237,2020-03-06 17:00:00,ITA,6,Friuli V. G. ,45.6494354,13.76813649,4,0,4,24,28,7,3,0,31,577,
238,2020-03-06 17:00:00,ITA,12,Lazio,41.89277044,12.48366722,26,8,34,16,50,9,3,1,54,1373,
239,2020-03-06 17:00:00,ITA,7,Liguria,44.41149315,8.9326992,12,5,17,7,24,3,5,3,32,229,
240,2020-03-06 17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,1622,309,1931,77,2008,231,469,135,2612,13556,
241,2020-03-06 17:00:00,ITA,11,Marche,43.61675973,13.5188753,73,20,93,62,155,35,0,4,159,585,
242,2020-03-06 17:00:00,ITA,14,Molise,41.55774754,14.65916051,3,2,5,7,12,5,0,0,12,104,
243,2020-03-06 17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,57,30,87,52,139,33,0,4,143,793,
244,2020-03-06 17:00:00,ITA,16,Puglia,41.12559576,16.86736689,5,1,6,9,15,3,1,1,17,395,
245,2020-03-06 17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,2,0,2,3,5,3,0,0,5,99,
246,2020-03-06 17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,7,0,7,15,22,6,2,0,24,367,
247,2020-03-06 17:00:00,ITA,9,Toscana,43.76923077,11.25588885,35,5,40,38,78,18,1,0,79,1097,
248,2020-03-06 17:00:00,ITA,4,Trento,46.06893511,11.12123097,4,0,4,6,10,3,0,0,10,122,
249,2020-03-06 17:00:00,ITA,10,Umbria,43.10675841,12.38824698,2,2,4,12,16,7,0,0,16,110,
250,2020-03-06 17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,7,7,5,0,0,7,28,
251,2020-03-06 17:00:00,ITA,5,Veneto,45.43490485,12.33845213,117,27,144,310,454,74,22,12,488,13023,
